#		Crusader Kings 2 : Advanced Medieval Desires

#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;


#AMD_EV_DESC_LENGTH;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;	이벤트 창 1 line 제한 약 70byte

#이벤트Events;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;



#	모드 알림, 모드 옵션;0000000001000000000200000000030000000004000000000500000000060000000007;;;;;;;;;;;;;x;

AMD_EV_TITLE_10011;Advanced Medieval Desires;;;;;;;;;;;;x;
AMD_EV_DESC_10011;이 모드는 미성년자의 가치관 형성에 심각한 악영향을 줄 수 있는 노골적, 폭력적이며 과학적, 정치적으로 올바르지 않은 성적묘사를 대량 포함하고 있습니다. 만약 당신이 이런 포르노그라피를 이용하는 것이 합법이 아니라면 즉각 이용을 중지하십시오. 게임 내 모든 사건, 인물, 장소, 종교 등은 실제 행위나 기록을 대변하거나 묘사하기 위한 것이 아닙니다. 개발자는 게임 내에서 묘사된 행위의 승인, 묵인, 또는 참여를 권하지 않습니다. 현실에서 유사한 행위를 시도하면 법의 처벌과 지역사회의 가혹한 보복이 따를 것입니다. 개발자는 당신의 위법행위에 대한 어떤 책임도 지지 않습니다.;;;;;;;;;;;;x;
AMD_EV_String_Pansanim;판사님! 저는 이 모드를 만들지 않았습니다. 전부 온디스크 업로더가 만든 것입니다! 그놈을 잡아가십시오!;;;;;;;;;;;;x;

AMD_EV_TITLE_1001;AMD Mod Option;;;;;;;;;;;;x;
AMD_EV_DESC_1001;당신의 취향에 따라 이 모드의 일부 이벤트를 제한할 수 있습니다. 이 설정들은 언제든지 변경 가능합니다.;;;;;;;;;;;;x;

AMD_EV_OPT_ModOption_ACB_ON;아청법 적용하기;;;;;;;;;;;;x;
AMD_EV_OPT_ModOption_ACB_OFF;아청법 해제하기;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_ACB_ON;결혼가능한 나이가 되기 전에는 AMD 모드의 주요 이벤트를 사용할 수 없습니다.;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_ACB_OFF;(기본)셰익스피어의 '로미오와 줄리엣'의 전례를 따라, 12세부터 주요 이벤트를 사용할 수 있습니다.;;;;;;;;;;;;x;

AMD_EV_OPT_ModOption_PC_PROTECTION_ON;플레이어 보호 설정;;;;;;;;;;;;x;
AMD_EV_OPT_ModOption_PC_PROTECTION_OFF;플레이어 보호 해제;;;;;;;;;;;;x;
AMD_EV_DESC_ModOption_PC_PROTECTION_ON;플레이어 캐릭터에게 좋지 않은 AMD 모드의 몇몇 이벤트가 비활성화됩니다.;;;;;;;;;;;;x;
